Title,Authors,Abstract,Published Year,Published Month,Journal,Field,subField,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Crowd explicit sentiment analysis.,"Montejo-Ráez, A.; Díaz-Galiano, M.C.; Martínez-Santiago, F.; Ureña-López, L.A.","With the rapid growth of data generated by social web applications new paradigms in the generation of knowledge are opening. This paper introduces Crowd Explicit Sentiment Analysis (CESA) as an approach for sentiment analysis in social media environments. Similar to Explicit Semantic Analysis, microblog posts are indexed by a predefined collection of documents. In CESA, these documents are built up from common emotional expressions in social streams. In this way, texts are projected to feelings or emotions . This process is performed within a Latent Semantic Analysis. A few simple regular expressions (e.g. “I feel X” , considering X a term representing an emotion or feeling) are used to scratch the enormous flow of micro-blog posts to generate a textual representation of an emotional state with clear polarity value (e.g. angry, happy, sad, confident, etc. ). In this way, new posts can be indexed by these feelings according to the distance to their textual representation. The approach is suitable in many scenarios dealing with social media publications and can be implemented in other languages with little effort. In particular, we have evaluated the system on Polarity Classification with both English and Spanish data sets. The results show that CESA is a valid solution for sentiment analysis and that similar approaches for model building from the continuous flow of posts could be exploited in other scenarios.",2014,10//,Knowledge-Based Systems,ai,ai,69,,134-139,,,,#6618,Montejo-Ráez 2014,,
Docode 5: Building a real-world plagiarism detection system.,"Pizarro V., Gaspar; Velásquez, Juan D.","Plagiarism refers to the appropriation of someone else’s ideas and expression. Its ubiquity makes it necessary to counter it, and invites the development of commercial systems to do so. In this document we introduce Docode 5, a system for plagiarism detection that can perform analyses on the World Wide Web and on user-defined collections, and can be used as a decision support system. Our contribution in this document is to present this system in all its range of components, from the algorithms used in it to the user interfaces, and the issues with deployment on a commercial scale at an algorithmic and architectural level. We ran performance tests on the plagiarism detection algorithm showing an acceptable performance from an academic and commercial point of view, and load tests on the deployed system, showing that we can benefit from a distributed deployment. With this, we conclude we can adapt algorithms made for small-scale plagiarism detection to a commercial-scale system.",2017,09//,Engineering Applications of Artificial Intelligence,engineering,eng_ai,64,,261-271,,,,#6111,Pizarro 2017,,
Assessing mobile health applications with twitter analytics.,"Pai, Rajesh R.; Alathur, Sreejith","<bold>Introduction: </bold>Advancement in the field of information technology and rise in the use of Internet has changed the lives of people by enabling various services online. In recent times, healthcare sector which faces its service delivery challenges started promoting and using mobile health applications with the intention of cutting down the cost making it accessible and affordable to the people.<bold>Objectives: </bold>The objective of the study is to perform sentiment analysis using the Twitter data which measures the perception and use of various mobile health applications among the citizens.<bold>Methods: </bold>The methodology followed in this research is qualitative with the data extracted from a social networking site ""Twitter"" through a tool RStudio. This tool with the help of Twitter Application Programming Interface requested one thousand tweets each for four different phrases of mobile health applications (apps) such as ""fitness app"", ""diabetes app"", ""meditation app"", and ""cancer app"". Depending on the tweets, sentiment analysis was carried out, and its polarity and emotions were measured.<bold>Results: </bold>Except for cancer app there exists a positive polarity towards the fitness, diabetes, and meditation apps among the users. Following a system thinking approach for our results, this paper also explains the causal relationships between the accessibility and acceptability of mobile health applications which helps the healthcare facility and the application developers in understanding and analyzing the dynamics involved the adopting a new system or modifying an existing one. ",2018,05//,International Journal of Medical Informatics,technology,tech_health_info,113,,72-84,,,,#6365,Pai 2018,,
A proposal for the development of adaptive spoken interfaces to access the Web.,"Griol, David; Molina, José Manuel; Callejas, Zoraida","Spoken dialog systems have been proposed as a solution to facilitate a more natural human–machine interaction. In this paper, we propose a framework to model the user׳s intention during the dialog and adapt the dialog model dynamically to the user needs and preferences, thus developing more efficient, adapted, and usable spoken dialog systems. Our framework employs statistical models based on neural networks that take into account the history of the dialog up to the current dialog state in order to predict the user׳s intention and the next system response. We describe our proposal and detail its application in the Let׳s Go spoken dialog system. ",2015,09/02/,Neurocomputing,technology,tech_nc,163,,56-68,,,,#6072,Griol 2015,,
Computer-based working memory training in children with mild intellectual disability.,"Delavarian, Mona; Bokharaeian, Behrouz; Towhidkhah, Farzad; Gharibzadeh, Shahriar","We designed a working memory (WM) training programme in game framework for mild intellectually disabled students. Twenty-four students participated as test and control groups. The auditory and visual–spatial WM were assessed by primary test, which included computerised Wechsler numerical forward and backward sub-tests and secondary tests, which contained three parts: dual visual–spatial test, auditory test and a one-syllable word recalling test. The results showed significant difference between WM capacity in the intellectually disabled children and normal ones (p-value < 0.00001). Visual–spatial WM, auditory WM and speaking were improved in the trained group. Four tests showed significant differences between pre-test and post-tests. The trained group showed more improvements in forward tasks. The trained participant's processing speed increased with training. We found that school is the best place for training. More comprehensive human–computer interfaces could be suitable for intellectually disabled students with visual and auditory impairments and problems in motor skills.",2015,01//,Early Child Development & Care,education,edu_early,185,1,66-74,,,,#6576,Delavarian 2015,,
Sequential deep learning from NTSB reports for aviation safety prognosis.,"Zhang, Xiaoge; Srinivasan, Prabhakar; Mahadevan, Sankaran","• Sequential deep learning models are developed for performing prognosis of adverse aviation events. • We compare the performance of classification models trained with event sequences and text narratives. • The developed model can be used for prognosis with partial and evolving event sequences. In this paper, we apply a set of data-mining and sequential deep learning techniques to accident investigation reports published by the National Transportation Safety Board (NTSB) in support of the prognosis of adverse events. Our focus is on learning with text data that describes the sequences of events. NTSB creates post hoc investigation reports which contain raw text narratives of their investigation and their corresponding concise event sequences. Classification models are developed for passenger air carriers, that take either an observed sequence of events or the corresponding raw text narrative as input and make predictions regarding whether an accident or an incident is the likely outcome, whether the aircraft would be damaged or not and whether any fatalities are likely or not. The classification models are developed using Word Embedding and the Long Short-term Memory (LSTM) neural network. The proposed methodology is implemented in two steps: (i) transform the NTSB data extracts into labeled dataset for building supervised machine learning models; and (ii) develop deep learning (DL) models for performing prognosis of adverse events like accidents, aircraft damage or fatalities. We also develop a prototype for an interactive query interface for end-users to test various scenarios including complete or partial event sequences or narratives and get predictions regarding the adverse events. The development of sequential deep learning models facilitates safety professionals in auditing, reviewing, and analyzing accident investigation reports, performing what-if scenario analyses to quantify the contributions of various hazardous events to the occurrence of aviation accidents/incidents. ",2021,10//,Safety Science,engineering,eng_safety,142,,N.PAG-N.PAG,,,,#5990,Zhang 2021,,
How Does Prior Knowledge Influence Eye Fixations and Sequences of Cognitive and Metacognitive SRL Processes during Learning with an Intelligent Tutoring System?,"Taub, Michelle; Azevedo, Roger","The goal of this study was to use eye-tracking and log-file data to investigate the impact of prior knowledge on college students' (N = 194, with a subset of n = 30 for eye tracking and sequence mining analyses) fixations on (i.e., looking at) self-regulated learning-related areas of interest (i.e., specific locations on the interface) and on the sequences of engaging in cognitive and metacognitive self-regulated learning processes during learning with MetaTutor, an Intelligent Tutoring System that teaches students about the human circulatory system. Results revealed that there were no significant differences in fixations on single areas of interest by the prior knowledge group students were assigned to; however there were significant differences in fixations on pairs of areas of interest, as evidenced by eye-tracking data. Furthermore, there were significant differences in sequential patterns of engaging in cognitive and metacognitive self-regulated learning processes by students' prior knowledge group, as evidenced from log-file data. Specifically, students with high prior knowledge engaged in processes containing cognitive strategies and metacognitive strategies whereas students with low prior knowledge did not. These results have implications for designing adaptive intelligent tutoring systems that provide individualized scaffolding and feedback based on individual differences, such as levels of prior knowledge. ",2019,03//,International Journal of Artificial Intelligence in Education (Springer Science & Business Media B.V.),education,edu_ai,29,1,1-28,,,,#5980,Taub 2019,,
"Toward ""On‐Demand"" Materials Synthesis and Scientific Discovery through Intelligent Robots.","Li, Jiagen; Tu, Yuxiao; Liu, Rulin; Lu, Yihua; Zhu, Xi","A Materials Acceleration Operation System (MAOS) is designed, with unique language and compiler architecture. MAOS integrates with virtual reality (VR), collaborative robots, and a reinforcement learning (RL) scheme for autonomous materials synthesis, properties investigations, and self‐optimized quality assurance. After training through VR, MAOS can work independently for labor and intensively reduces the time cost. Under the RL framework, MAOS also inspires the improved nucleation theory, and feedback for the optimal strategy, which can satisfy the demand on both of the CdSe quantum dots (QDs) emission wavelength and size distribution quality. Moreover, it can work well for extensive coverages of inorganic nanomaterials. MAOS frees the experimental researchers out of the tedious labor as well as the extensive exploration of optimal reaction conditions. This work provides a walking example for the ""On‐Demand"" materials synthesis system, and demonstrates how artificial intelligence technology can reshape traditional materials science research in the future.",2020,04/08/,Advanced Science,science,sci_multi,7,7,1-11,,,,#5982,Li 2020,,
SWIFT-Active Screener: Accelerated document screening through active learning and integrated recall estimation.,"Howard, Brian E.; Phillips, Jason; Tandon, Arpit; Maharana, Adyasha; Elmore, Rebecca; Mav, Deepak; Sedykh, Alex; Thayer, Kristina; Merrick, B. Alex; Walker, Vickie; Rooney, Andrew; Shah, Ruchir R.","• Machine learning tools can reduce screening burden in systematic reviews. • SWIFT-Active Screener is a machine learning web app for document screening. • It uses one model to prioritize documents and another to estimate recall. • On average, 95% of relevant articles are revealed after screening 40% of the total. • Savings are increased on larger reviews with more references to screen. In the screening phase of systematic review, researchers use detailed inclusion/exclusion criteria to decide whether each article in a set of candidate articles is relevant to the research question under consideration. A typical review may require screening thousands or tens of thousands of articles in and can utilize hundreds of person-hours of labor. Here we introduce SWIFT-Active Screener, a web-based, collaborative systematic review software application, designed to reduce the overall screening burden required during this resource-intensive phase of the review process. To prioritize articles for review, SWIFT-Active Screener uses active learning, a type of machine learning that incorporates user feedback during screening. Meanwhile, a negative binomial model is employed to estimate the number of relevant articles remaining in the unscreened document list. Using a simulation involving 26 diverse systematic review datasets that were previously screened by reviewers, we evaluated both the document prioritization and recall estimation methods. On average, 95% of the relevant articles were identified after screening only 40% of the total reference list. In the 5 document sets with 5,000 or more references, 95% recall was achieved after screening only 34% of the available references, on average. Furthermore, the recall estimator we have proposed provides a useful, conservative estimate of the percentage of relevant documents identified during the screening process. SWIFT-Active Screener can result in significant time savings compared to traditional screening and the savings are increased for larger project sizes. Moreover, the integration of explicit recall estimation during screening solves an important challenge faced by all machine learning systems for document screening: when to stop screening a prioritized reference list. The software is currently available in the form of a multi-user, collaborative, online web application.",2020,05//,Environment International,science,sci_env_health,138,,N.PAG-N.PAG,,,,#5981,Howard 2020,,
Elicitation of latent learning needs through learning goals recommendation.,"Capuano, Nicola; Gaeta, Matteo; Ritrovato, Pierluigi; Salerno, Saverio",Highlights: [•] We designed a hybrid recommender system able to suggest learning goals to learners. [•] We defined a methodology for providing recommendations. [•] The learning goals are suggested considering learners’ knowledge. [•] We integrated the recommender system into an existing learning platform (IWT). [•] The integration allow us to improve the IWT adaptive learning courses generation. ,2014,01//,Computers in Human Behavior,technology,tech_human_inter,30,,663-673,,,,#6058,Capuano 2014,,
